title,years,eps,desc,image,id
Psycho-Pass,2012–2019,41 eps,"Believing in humanity and order, policewoman Akane Tsunemori obeys the ruling, computerized, precognitive Sibyl System. But when she faces a criminal mastermind who can elude this perfect system, she questions both Sibyl and herself.",https://m.media-amazon.com/images/M/MV5BNjQ1OTNkZGYtODVlMC00NWI0LWJiYjItMzM4M2U4NjY0ZTYwXkEyXkFqcGc@._V1_QL75_UX190_CR0,TpYxCy
Assasination Classroom,2013–2016,49 eps,"A powerful creature claims that within a year, Earth will be destroyed by him, but he offers mankind a chance by becoming a homeroom teacher where he teaches his students about how to kill him. An assassination classroom begins.",https://m.media-amazon.com/images/M/MV5BZjBkYmRiOTAtY2IwOS00ZWU3LTk3YjItNjMzYWZiMDE1MjcyXkEyXkFqcGc@._V1_QL75_UY281_CR14,Qb31xK
Dororo,2019,24 eps,"Sightless Hyakkimaru wields fearsome prosthetics in place of the limbs his father traded to 12 demons. When he encounters the young thief Dororo, the pair sets out to reclaim Hyakkimaru's body parts and survive the demon-infested world.",https://m.media-amazon.com/images/M/MV5BYzk2ODAyZjctNjExNS00ZDk0LWE1ZDMtZmIyNzI2NjNjNjllXkEyXkFqcGc@._V1_QL75_UY281_CR1,GDYcUp
Kaguya-sama: Love is War,2019–2023,43 eps,The proudly privileged top two students of an elite school each makes it their mission to be the first to extract a confession of love from the other.,https://m.media-amazon.com/images/M/MV5BMTM1ZWViNWMtZWY2ZC00YmYyLTk1ZGEtMzRjOWI2YTM1OTI3XkEyXkFqcGc@._V1_QL75_UY281_CR5,vigVdW
Gurren Lagann,2007,28 eps,"Two friends, Simon and Kamina, become the symbols of rebellion against the powerful Spiral King, who forced mankind into subterranean villages.",https://m.media-amazon.com/images/M/MV5BMGJlODA2ZmItOTRiZS00NWM5LWJlNTQtYzI5MTNiZjA2MGFjXkEyXkFqcGc@._V1_QL75_UX190_CR0,DNXsxy
Death Parade,2015,12 eps,"After death, humans go to either heaven or hell. But for some, at the instant of their death, they arrive at the Quindecim, a bar attended by the mysterious white-haired Decim.",https://m.media-amazon.com/images/M/MV5BODRkMDEyZTItYjAzNS00Y2E2LThlNGItYjAxZjhjMDlmMjk3XkEyXkFqcGc@._V1_QL75_UY281_CR5,a0ReEC
Ghost in the Shell: Stand Alone Complex,2002–2005,52 eps,The futuristic adventures of a female cyborg counter intelligence agent and her support team.,https://m.media-amazon.com/images/M/MV5BY2NkZmQwOWQtNDc3Mi00MzVhLWI5NGUtNzg2ODBhMWZhNjgzXkEyXkFqcGc@._V1_QL75_UY281_CR12,oew7vZ
The Future Diary,2011–2013,27 eps,"A young man competes with people around the world for a chance to become the succesor of God, with a diary that is able to tell the future.",https://m.media-amazon.com/images/M/MV5BYjZjNmIxYTgtYzdkZC00Yzc5LWI5YTAtZWQ5YWNjZmQ1NTUyXkEyXkFqcGc@._V1_QL75_UY281_CR1,kzkwLO
Rurouni Kenshin,1996–1998,95 eps,The adventures of a young wandering swordsman who stumbles upon a struggling martial arts school in Meiji era Japan.,https://m.media-amazon.com/images/M/MV5BNDFlZTJjYTYtMzMzZS00OGQ3LTg1OGUtZmNhNGY1ZWMzYjY0XkEyXkFqcGc@._V1_QL75_UY281_CR3,gDIhOW
FLCL,2000–2001,6 eps,Mysterious things start happening when 12-year-old Naota meets a strange woman on a Vespa wielding a big guitar.,https://m.media-amazon.com/images/M/MV5BYjg2YzVmZWItYWMyMy00YjI2LTk0YTMtMDU1NGU0ZTRiODNlXkEyXkFqcGc@._V1_QL75_UY281_CR4,p3gMmh
Noragami,2014–2015,29 eps,"A minor god seeking to gain widespread worship teams up with a human girl he saved to gain fame, recognition and at least one shrine dedicated to him.",https://m.media-amazon.com/images/M/MV5BODhhZDgxM2EtZjZhYy00ZThkLTk2NDMtNGE0YjJlMWVlMDU1XkEyXkFqcGc@._V1_QL75_UX190_CR0,EF1XMG
Toradora!,2008–2009,25 eps,Toradora tells the tale of Ryuji (dragon) and Taiga (tiger) helping each other confess to their crushes.,https://m.media-amazon.com/images/M/MV5BNjEyZmRmMGYtNGY1Zi00MTFiLWE0ZTMtNzUzMWJmMTgzNWE5XkEyXkFqcGc@._V1_QL75_UY281_CR4,Y3RXkf
"No Game, No Life",2014,12 eps,"Siblings Sora and Shiro make up the most feared team of pro gamers in the world, The Blank. When they manage to beat God himself in a game of chess, they are sent to a world where all disputes are settled with games.",https://m.media-amazon.com/images/M/MV5BOTk5ZDZhNGUtMDM2OS00Y2RkLWEwMmQtODg4ZTZiMGY1ZjFjXkEyXkFqcGc@._V1_QL75_UY281_CR1,4HlYBo
Another,2012,13 eps,"When Sasakibara Kouichi transfers to a new school, he can sense something frightening in the atmosphere of his new class, a secret none of them will talk about. At the center is the beautiful girl Misaki Mei.",https://m.media-amazon.com/images/M/MV5BZGM2MjM0OTEtYTUwYy00NjBjLWI4NGQtZjM4NGYzMTE1ZmI4XkEyXkFqcGc@._V1_QL75_UX190_CR0,nXccff
Black Lagoon,2006,24 eps,"A Japanese businessman, captured by modern-day pirates, is written off and left for dead by his company. Tired of the corporate life, he opts to stick with the mercenaries that kidnapped him, becoming part of their gang.",https://m.media-amazon.com/images/M/MV5BMzIxYzU5YWYtZjQ5OS00MGExLWIxMWEtZjEzMDM0M2YwM2FjXkEyXkFqcGc@._V1_QL75_UY281_CR3,iVvT7v
The Rising of the Shield Hero,2019–,50 eps,"A gamer is magically summoned into a parallel universe, where he is chosen as one of four heroes destined to save the world from its prophesied doom.",https://m.media-amazon.com/images/M/MV5BZjc4ZGZkNjMtZTRkYS00Mjk4LTgwMzAtMzg1MWZlZjcxNDRhXkEyXkFqcGc@._V1_QL75_UX190_CR0,rmyCGv
Serial Experiments Lain,1998,13 eps,"Strange things start happening when a withdrawn girl named Lain becomes obsessed with an interconnected virtual realm known as ""The Wired"".",https://m.media-amazon.com/images/M/MV5BZGJiMmEyMDMtMTJlZi00YTgwLWI1ODgtZDA1YjEyM2Q5MjI3XkEyXkFqcGc@._V1_QL75_UX190_CR0,FBj0AQ
Inuyasha,2000–2004,167 eps,A teenage girl periodically travels back in time to feudal Japan to help a young half-demon recover the shards of a jewel of great power.,https://m.media-amazon.com/images/M/MV5BZjQxYThmNGEtNzU2ZS00NjZmLWEzNTItMWM2NmU0ZTc5NjY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,wFoMUQ
Rascal Does Not Dream of Bunny Girl Senpai,2018,13 eps,"After experiencing ""puberty syndrome"" himself, high school pariah Sakuta keeps meeting girls suffering from it, including his sister and actor Mai.",https://m.media-amazon.com/images/M/MV5BMTg5ZDJlMjItZGI4MC00MzU2LTg2NGMtMWM3MjhmODhmMDVmXkEyXkFqcGc@._V1_QL75_UY281_CR5,2pZGiU
